"Host.Id","Host.Since","Name","Neighbourhood","Property.Type","Room.Type","Zipcode","Beds","Number.Of.Reviews","Price","Review.Scores.Rating"
71528,"1/18/10","1 BR Gem in the Heart of Chelsea","Manhattan","Apartment","Entire home/apt",10011,1,4,"226",95
25267067,"12/27/14","2 Bedroom Luxury Suite","Brooklyn","Apartment","Entire home/apt",11233,2,2,"165",100
11050337,"1/5/14","Midtown East Side Studio","Manhattan","Apartment","Entire home/apt",10022,2,16,"225",99
12829944,"3/5/14","Artist's home in Williamsburg","Brooklyn","Apartment","Entire home/apt",11249,3,0,"180",NA
11986553,"2/6/14","Lovely NYC Apt- Perfect Location!","Manhattan","Apartment","Entire home/apt",10016,1,2,"180",100
28119277,"2/21/15","HIDDEN GEM JUST STEPS TO CENTRAL PK","Manhattan","Apartment","Entire home/apt",10029,1,15,"140",96
36229779,"6/19/15","Garden Level Nest in Brooklyn","Brooklyn","Apartment","Entire home/apt",11238,1,9,"105",96
6101617,"4/26/13","Upper East Side / Yorkville Studio","Manhattan","Apartment","Entire home/apt",10075,1,10,"115",90
5153401,"2/19/13","Beautiful Studio at West Village","Manhattan","Apartment","Entire home/apt",10014,1,15,"140",79
27418789,"2/8/15","Cozy 3 Bedrooms On Lower East Side","Manhattan","Apartment","Entire home/apt",10002,3,7,"285",83
8264867,"8/19/13","Huge, sunny Village 1BR on the park","Manhattan","Townhouse","Entire home/apt",10011,1,6,"375",93
30500226,"4/2/15","East Village -  Beautiful 1 Bedroom","Manhattan","Apartment","Entire home/apt",10003,1,6,"195",100
1559494,"1/2/12","Private 1br,1ba Apt. Comfy + Quiet","Brooklyn","Apartment","Entire home/apt",11211,1,18,"125",93
26899122,"1/29/15","Sunny 1bedroom with yard","Brooklyn","Townhouse","Entire home/apt",11215,2,0,"85",NA
10221498,"11/24/13","Luxurious one bedroom to call home","Brooklyn","Apartment","Entire home/apt",11211,1,1,"199",100
40806695,"8/7/15","Cozy Fun 2BR near Times Square","Manhattan","Apartment","Entire home/apt",10036,4,3,"320",67
3422235,"8/30/12","Charming East Village Apartment","Manhattan","Apartment","Entire home/apt",10009,1,8,"250",100
4350342,"12/7/12","Lux. 1-bedroom Cute/Cozy/Chic","Brooklyn","Apartment","Entire home/apt",11211,1,25,"200",97
5800619,"4/6/13","Charming Studio in a Great location","Manhattan","Apartment","Entire home/apt",10001,1,0,"225",NA
6057699,"4/23/13","1 Bedroom Apartmen in LES/Chinatown","Manhattan","Apartment","Entire home/apt",10002,1,0,"195",NA
3624339,"9/20/12","Charming, furnished apt-Midtown E","Manhattan","Apartment","Entire home/apt",10017,1,0,"145",NA
238354,"9/18/10","Charming & Modern One Bedroom in BK","Brooklyn","Apartment","Entire home/apt",11238,1,2,"147",80
28946446,"3/8/15","Luxury Midtown Penthouse","Manhattan","Apartment","Entire home/apt",10016,4,9,"765",NA
1031108,"8/28/11","Upper West Side Studio Apartment","Manhattan","Apartment","Entire home/apt",10024,1,97,"175",92
16466289,"6/6/14","Lrg apt in Bronx close to Manhattan","Bronx","Apartment","Entire home/apt",10472,2,1,"70",NA
17225793,"6/25/14","Large 2BR in great BK neighborhood","Brooklyn","Apartment","Entire home/apt",11201,2,23,"300",84
11790239,"1/30/14","Harlem cosy renovated unit for two","Manhattan","Apartment","Entire home/apt",10030,1,0,"77",NA
29742757,"3/21/15","Let THE SUN SHINE IN ~whole apt.","Queens","Apartment","Entire home/apt",11374,2,1,"140",100
850498,"7/21/11","1 BR Park Avenue Apt on Museum Mile","Manhattan","Apartment","Entire home/apt",10128,1,22,"199",91
20289059,"8/19/14","Beautiful Studio in posh Upper East","Manhattan","Apartment","Entire home/apt",10021,1,33,"139",88
23076444,"10/28/14","Beautiful 1BD Apartment in NYC","Manhattan","Apartment","Entire home/apt",10075,1,2,"185",90
343302,"1/11/11","Calm & Sunny Apt in Carroll Gardens","Brooklyn","Apartment","Entire home/apt",11231,3,20,"165",95
12220316,"2/13/14","Elegant Brownstone Duplex","Brooklyn","Apartment","Entire home/apt",11238,2,2,"375",90
2897021,"7/10/12","Amazingly bright and cozy apartment","Manhattan","Apartment","Entire home/apt",10003,1,4,"150",95
34616771,"5/30/15","Lrg 1bdrm by Times Sq -clean & cozy","Manhattan","Apartment","Entire home/apt",10019,1,0,"200",NA
688082,"6/10/11","Large private Apt w huge T.V.!","Manhattan","Apartment","Entire home/apt",10065,2,45,"220",82
3915875,"10/18/12","DowntownDream! Modern, luxury 1 bed","Manhattan","Apartment","Entire home/apt",10005,2,8,"300",98
